word,countrycode,key_id
alarm clock,GB,4665167562407936
alarm clock,IQ,5535398652542976
alarm clock,TW,4567518247124992
alarm clock,PH,5050116656332800
alarm clock,US,6111180294717440
alarm clock,AU,6386860987252736
alarm clock,IE,4991843160817664
alarm clock,BA,4521464835342336
alarm clock,US,6133361850449920
alarm clock,SA,6136883975290880
alarm clock,US,6704608623722496
alarm clock,KR,5117510263242752
alarm clock,CZ,5942467784343552
alarm clock,GE,6623777691533312
alarm clock,ID,6268609749843968
alarm clock,GB,6699205135433728
alarm clock,US,6650654254694400
alarm clock,US,6427312033628160
alarm clock,TH,6587742194499584
alarm clock,IE,5421406802149376
alarm clock,TR,5151581584490496
alarm clock,US,5119597634125824
alarm clock,US,5140505472008192
alarm clock,US,6452277533474816
alarm clock,US,6091862370680832
alarm clock,ZA,6142250503372800
alarm clock,DE,6342688070696960
alarm clock,US,5102884842635264
alarm clock,NP,6228165137530880
alarm clock,SA,4998411558322176
alarm clock,US,5557416936603648
alarm clock,IL,6181692412788736
alarm clock,DE,5431923612581888
alarm clock,BR,6266734543634432
alarm clock,US,5740685539934208
alarm clock,US,4756483466067968
alarm clock,GB,5459003133919232
alarm clock,CA,6309459250905088
alarm clock,DE,6134098001133568
alarm clock,US,6354979952525312
alarm clock,DE,5082087050706944
alarm clock,US,5994872290934784
alarm clock,DE,5461492348485632
alarm clock,US,5941455132557312
alarm clock,SA,5681585430986752
alarm clock,RO,6484558105018368
alarm clock,GB,6420392367357952
alarm clock,PT,4682430730469376
alarm clock,GB,5886762360504320
alarm clock,US,4746467082240000
alarm clock,US,5185504897138688
alarm clock,AR,6686231968612352
alarm clock,US,5400274086658048
alarm clock,ID,6394424609210368
alarm clock,CZ,5636500454637568
alarm clock,DJ,5714641848107008
alarm clock,US,6230876398551040
alarm clock,RU,5135267553869824
alarm clock,US,6164207168913408
alarm clock,NO,5119090827984896
alarm clock,AU,6708644198481920
alarm clock,HR,6686969918652416
alarm clock,GB,6021392925458432
alarm clock,US,6147182086324224
alarm clock,TH,6572880315809792
alarm clock,US,4788640171425792
alarm clock,US,5579012132831232
alarm clock,US,4959620504223744
alarm clock,US,4708586359881728
alarm clock,BE,6005192577253376
alarm clock,US,5664533253193728
alarm clock,ZZ,6402209103216640
alarm clock,DE,4520822771286016
alarm clock,US,4561721295372288
alarm clock,PH,5040574799282176
alarm clock,ZA,6134639804547072
alarm clock,UA,4920749489913856
alarm clock,US,4755668697350144
alarm clock,EE,6606199581573120
alarm clock,US,5924496768761856
alarm clock,HU,4753791863750656
alarm clock,IL,6752338058412032
alarm clock,US,6143267252994048
alarm clock,ZZ,4948718778318848
alarm clock,US,6602848852770816
alarm clock,US,4922361377718272
alarm clock,US,6752981061992448
alarm clock,DE,6059914420027392
alarm clock,IL,5525920536330240
alarm clock,CZ,5496137890922496
alarm clock,US,6491045858639872
alarm clock,GB,5249820975431680
alarm clock,US,5905150390566912
alarm clock,US,5779601903058944
alarm clock,US,5886412169674752
alarm clock,US,5844229366480896
alarm clock,US,6051583475318784
alarm clock,AU,5195038734680064
alarm clock,BE,5623115008704512
alarm clock,RS,5968687272034304
alarm clock,GR,5483765411348480
alarm clock,US,4913826891825152
alarm clock,HU,4963405175717888
alarm clock,US,6462526197858304
alarm clock,US,5645390319714304
alarm clock,US,6566824529362944
alarm clock,US,4599433071165440
alarm clock,CA,4795271852589056
alarm clock,US,5537970146770944
alarm clock,HU,4760524141101056
alarm clock,AU,5949625766772736
alarm clock,PH,5385876144128000
alarm clock,GB,4966801270112256
alarm clock,FR,6617499137212416
alarm clock,US,6356955096416256
alarm clock,NO,5764794516766720
alarm clock,GE,5999017437691904
alarm clock,IE,5662729903800320
alarm clock,GB,6630308763926528
alarm clock,RU,6354616889376768
alarm clock,US,5851463198703616
alarm clock,US,5356273971232768
alarm clock,US,5451603773489152
alarm clock,RO,6088073400025088
alarm clock,CZ,5168690020483072
alarm clock,AU,5131562947444736
alarm clock,SA,6701349850841088
alarm clock,RO,5054772870643712
alarm clock,CA,5696915612106752
alarm clock,DE,5271671504109568
alarm clock,PL,6692603200274432
alarm clock,US,5079156154957824
alarm clock,ID,6754091931795456
alarm clock,US,5565964408061952
alarm clock,US,4827590642630656
alarm clock,CA,6135770085588992
alarm clock,US,5184836912283648
alarm clock,US,5842472842297344
alarm clock,RU,5080765492625408
alarm clock,PH,4704379271643136
alarm clock,CA,6274879517097984
alarm clock,US,5191243074109440
alarm clock,SE,6632634048315392
alarm clock,DE,5701565639819264
alarm clock,US,5908562125520896
alarm clock,CZ,6616268851380224
alarm clock,CH,4790406376062976
alarm clock,CA,5272826229555200
alarm clock,IS,6131048947646464
alarm clock,GB,5197468683730944
alarm clock,RU,4781037005570048
alarm clock,DE,5525419916787712
alarm clock,AU,4531269255823360
alarm clock,GB,5062437441110016
alarm clock,US,6660762846101504
alarm clock,BR,5575498312712192
alarm clock,GB,6271652633509888
alarm clock,RO,5754584037326848
alarm clock,CR,6106853048057856
alarm clock,US,6620426190979072
alarm clock,US,5298278289637376
alarm clock,US,5483450217791488
alarm clock,CZ,6264943005401088
alarm clock,PR,6080037600100352
alarm clock,FI,4979014030589952
alarm clock,US,4615979181015040
alarm clock,US,4845732215390208
alarm clock,GB,6218617941131264
alarm clock,CA,5237867548770304
alarm clock,US,5429269725446144
alarm clock,US,6022936198643712
alarm clock,US,6741345177698304
alarm clock,US,5623581998317568
alarm clock,DE,5956816888397824
alarm clock,SK,6492199791362048
alarm clock,KW,4640102569476096
alarm clock,US,5033565513318400
alarm clock,US,5790453813215232
alarm clock,HK,6585960051507200
alarm clock,US,4578414407188480
alarm clock,HU,6456748057559040
alarm clock,VN,4614175819038720
alarm clock,RU,4815489102512128
alarm clock,GB,4909220791058432
alarm clock,CA,5875481628901376
alarm clock,KH,6289499766128640
alarm clock,TH,6405520036462592
alarm clock,US,5529201065066496
alarm clock,TW,4956302713290752
alarm clock,DE,5288568631066624
alarm clock,TR,4796154720026624
alarm clock,GB,6406580138409984
alarm clock,PH,5646530713223168
alarm clock,US,5537176097914880
alarm clock,US,6507899507441664
alarm clock,FR,6502256021078016
alarm clock,US,5044802594799616
alarm clock,GB,4615054756413440
alarm clock,US,6699148734627840
ambulance,GB,5253631014076416
ambulance,SA,5771904566689792
ambulance,GB,5689948554395648
ambulance,KR,4930758240108544
ambulance,US,4672452263149568
ambulance,US,4749813415411712
ambulance,SA,6483007839928320
ambulance,ID,6395003477688320
ambulance,US,5874216358379520
ambulance,ZZ,5723902321885184
ambulance,ID,6165623950278656
ambulance,IT,6719080704770048
ambulance,US,6278802747424768
ambulance,US,5836856417583104
ambulance,DE,5711342461779968
ambulance,US,6474131753140224
ambulance,US,5556019797164032
ambulance,CH,4849982475599872
ambulance,US,6639020966674432
ambulance,RU,6247648329728000
ambulance,FI,5633663125422080
ambulance,CA,5436694079733760
ambulance,US,6108287378391040
ambulance,TH,6450262791159808
ambulance,US,5682555577696256
ambulance,GB,5664299261362176
ambulance,PL,6074338614706176
ambulance,CZ,5774324797538304
ambulance,FR,6699253722251264
ambulance,US,4926761873702912
ambulance,US,5524322003189760
ambulance,US,4542000567156736
ambulance,US,6201066423058432
ambulance,US,6631935898025984
ambulance,DE,5386472809037824
ambulance,NL,5326867756220416
ambulance,MA,6241770247553024
ambulance,PL,5512406836969472
ambulance,US,5838163752779776
ambulance,AU,5565114591739904
ambulance,UY,4645262704246784
ambulance,HU,4804488634302464
ambulance,US,4709745296408576
ambulance,US,5388033190789120
ambulance,AU,4731134770413568
ambulance,SK,5040664259592192
ambulance,US,5107260005023744
ambulance,TW,6681715089080320
ambulance,US,6181877469675520
