Type,ID,Time
TASK,0_M1,3.005021
TASK,1_M1,4.840806
TASK,2_M0,2.650363
TASK,3_M0,2.923759
TASK,4_M2,3.006829
TASK,5_M1,3.008498
TASK,7_M0,2.450838
TASK,7_M1,2.011435
TASK,8_M1,2.989323
TASK,8_M2,4.012577
TASK,8_M3,6.013128
JOB,1,15:28:07
JOB,5,15:28:10
JOB,6,15:28:10
JOB,3,15:28:11
JOB,4,15:28:11
TASK,14_M3,1.00097
TASK,10_M2,7.008985
TASK,14_M1,2.004645
TASK,14_M0,4.186156
TASK,15_M0,3.702851
TASK,16_M0,2.73509
TASK,17_M0,1.99606
TASK,18_M0,4.0437
TASK,20_M0,3.030526
TASK,19_M3,5.027166
TASK,20_M1,4.033771
JOB,10,15:28:21
JOB,13,15:28:23
TASK,14_R0,1.002416
TASK,23_M1,4.9666
TASK,23_M2,5.011103
JOB,12,15:28:26
JOB,16,15:28:27
JOB,19,15:28:27
TASK,16_R0,4.983944
JOB,20,15:28:30
TASK,24_M1,6.203708
TASK,29_M2,1.001202
TASK,25_M2,2.004628
TASK,24_R0,1.001014
TASK,25_M1,6.011774
TASK,28_M0,4.009186
TASK,32_M0,2.240198
TASK,34_M0,1.431071
TASK,34_M2,2.006094
JOB,25,15:28:38
TASK,26_R0,1.002986
TASK,35_M2,2.000983
TASK,25_R0,5.012997
TASK,36_M0,2.005712
JOB,28,15:28:42
TASK,36_M1,3.008544
TASK,40_M0,1.917867
JOB,34,15:28:45
TASK,39_M0,3.005414
TASK,38_M2,4.007173
JOB,35,15:28:47
TASK,42_M1,3.999632
TASK,43_M2,2.003599
JOB,38,15:28:49
TASK,43_M1,6.011512
TASK,44_M1,4.008341
TASK,45_M0,2.003571
TASK,45_M1,1.001992
JOB,42,15:28:52
JOB,43,15:28:53
TASK,43_R0,5.004192
TASK,48_M0,4.006726
TASK,48_M1,4.0071
TASK,48_M2,5.007018
TASK,49_M0,3.003944
TASK,51_M2,1.001612
TASK,50_M1,6.008366
TASK,54_M0,1.001616
TASK,50_M2,4.006422
TASK,50_M3,4.00698
TASK,57_M1,1.001927
TASK,52_M2,6.012166
TASK,57_M3,2.003796
JOB,50,15:29:05
TASK,57_M0,4.008316
JOB,51,15:29:07
TASK,53_R0,1.001177
TASK,52_R0,3.004642
JOB,52,15:29:10
JOB,55,15:29:10
TASK,59_M3,2.005864
TASK,61_M0,2.003268
TASK,60_M0,4.01563
TASK,62_M0,4.012731
TASK,63_M0,3.009224
JOB,59,15:29:14
TASK,59_R0,6.091868
JOB,60,15:29:17
TASK,66_M3,2.092456
JOB,62,15:29:18
JOB,63,15:29:19
JOB,65,15:29:20
TASK,68_M1,3.005572
TASK,69_M1,4.006419
TASK,71_M1,3.004289
TASK,70_M0,5.005189
TASK,68_R0,1.000649
JOB,69,15:29:24
TASK,75_M0,2.001934
TASK,74_M2,3.005798
TASK,72_M0,7.01159
TASK,77_M0,3.006216
TASK,76_M2,5.008793
TASK,78_M0,4.997831
TASK,80_M0,4.00613
JOB,72,15:29:33
TASK,83_M2,4.294678
TASK,78_R0,3.282847
JOB,75,15:29:35
JOB,78,15:29:35
JOB,82,15:29:38
TASK,83_R0,3.012603
TASK,85_M1,3.006058
TASK,82_R0,5.222052
TASK,85_M2,3.015673
TASK,90_M0,1.002831
TASK,89_M1,3.998403
TASK,93_M0,2.001587
TASK,94_M0,1.002193
TASK,91_M0,4.009265
TASK,92_M0,4.011162
JOB,87,15:29:45
TASK,97_M1,4.011432
TASK,97_M2,3.005738
TASK,97_M3,4.006637
TASK,87_R0,4.003932
TASK,93_R0,2.006655
JOB,93,15:29:49
TASK,91_R0,6.013412
JOB,96,15:29:54
TASK,97_R0,5.00964
