Type,ID,Time
TASK,1_M3,1.00175
TASK,4_M0,3.004566
TASK,4_M1,4.007561
TASK,5_M0,3.005207
JOB,0,15:28:01
JOB,2,15:28:09
TASK,5_R0,7.291
JOB,7,15:28:14
TASK,13_M0,3.32215
TASK,16_M1,4.007651
TASK,19_M1,2.418181
TASK,19_M2,3.007853
TASK,21_M0,4.006253
TASK,21_M1,3.006884
TASK,22_M0,5.004432
TASK,15_R0,1.991118
JOB,15,15:28:23
TASK,18_R0,1.998926
JOB,18,15:28:26
JOB,17,15:28:27
TASK,25_M0,1.990118
TASK,23_M3,5.005431
TASK,29_M0,1.263662
TASK,27_M1,4.006109
JOB,23,15:28:34
TASK,30_M0,4.005674
TASK,30_M3,5.006244
TASK,33_M1,2.488121
TASK,34_M1,1.49594
TASK,29_R0,1.996466
JOB,26,15:28:40
JOB,29,15:28:40
JOB,32,15:28:43
TASK,37_M0,5.004897
TASK,38_M0,2.003397
TASK,41_M1,5.009176
JOB,37,15:28:49
TASK,37_R0,5.008007
TASK,41_R0,1.999617
TASK,46_M0,5.004715
TASK,47_M0,3.00412
TASK,46_M1,5.005017
JOB,45,15:28:56
JOB,46,15:28:58
TASK,45_R0,5.009785
TASK,51_M0,4.004075
TASK,53_M0,1.001103
JOB,48,15:29:04
TASK,54_M1,4.00599
TASK,56_M0,2.968694
TASK,58_M0,3.017107
TASK,58_M2,3.004583
TASK,58_M1,4.010937
TASK,60_M2,2.003128
TASK,60_M1,3.5818
JOB,58,15:29:12
TASK,63_M1,1.003886
TASK,65_M0,3.001777
TASK,65_M1,2.003322
TASK,64_M1,5.013706
TASK,67_M0,1.511743
TASK,68_M0,2.989496
TASK,67_M1,4.006276
TASK,69_M0,5.005706
JOB,67,15:29:23
TASK,71_M0,5.008003
TASK,74_M1,4.003546
JOB,71,15:29:26
TASK,75_M1,3.006239
TASK,81_M0,2.002586
TASK,79_M2,5.00533
TASK,83_M0,4.005674
TASK,75_R0,4.003535
TASK,84_M1,4.309472
TASK,85_M0,3.343497
TASK,81_R0,5.007265
TASK,85_M3,4.006025
TASK,88_M3,6.003309
JOB,85,15:29:43
TASK,96_M0,3.005991
JOB,88,15:29:46
TASK,89_R0,3.028595
JOB,91,15:29:48
JOB,94,15:29:50
TASK,99_M1,3.002651
TASK,99_M2,3.008191
TASK,99_R0,3.006682
