TASK,0_M1,3.00435
TASK,0_M0,4.006328
TASK,1_M0,1.655716
TASK,2_M0,3.869241
TASK,2_M1,3.014277
TASK,0_R0,2.970342
TASK,4_M1,2.009251
TASK,5_M2,2.009133
TASK,3_M1,4.016123
JOB,0,15:31:42
TASK,7_M1,1.00235
TASK,8_M0,2.004463
TASK,7_M0,4.004206
JOB,2,15:31:44
TASK,9_M0,4.010719
TASK,3_R0,5.012318
TASK,10_M1,1.001975
TASK,11_M0,1.002085
TASK,11_M2,1.002372
TASK,12_M0,1.002585
TASK,10_M0,6.015857
JOB,8,15:31:48
JOB,9,15:31:48
TASK,12_M3,1.005606
TASK,12_M1,4.016081
TASK,12_M2,3.014997
TASK,13_M0,4.016173
TASK,10_R0,5.555753
JOB,10,15:31:57
TASK,15_M0,4.013348
TASK,21_M0,1.005095
TASK,16_M0,2.009754
TASK,12_R0,2.009968
TASK,23_M2,2.007519
TASK,27_M0,2.004598
TASK,18_M1,3.016024
TASK,15_R0,2.006359
JOB,17,15:32:01
TASK,30_M0,2.005097
TASK,30_M2,2.005549
JOB,15,15:32:03
JOB,16,15:32:04
TASK,18_R0,6.493708
JOB,18,15:32:10
JOB,23,15:32:10
TASK,24_R0,1.007312
TASK,27_R0,1.00848
TASK,32_M0,1.008499
TASK,34_M1,1.992579
TASK,21_R0,6.162552
JOB,28,15:32:13
TASK,35_M0,2.158956
TASK,35_M2,2.160187
TASK,35_M1,3.163047
TASK,37_M0,2.156264
TASK,36_M0,4.165484
TASK,40_M1,1.001205
TASK,40_M3,1.001559
JOB,33,15:32:18
TASK,41_M2,3.007652
TASK,40_M0,4.009447
TASK,41_M1,4.010221
TASK,43_M0,2.003615
TASK,44_M0,2.004199
JOB,36,15:32:22
TASK,45_M0,3.008408
TASK,45_M1,3.00949
TASK,40_R0,4.994683
JOB,40,15:32:25
JOB,43,15:32:25
TASK,44_R0,3.00577
JOB,44,15:32:30
TASK,46_M1,6.005581
TASK,46_M2,4.004613
TASK,54_M2,2.00361
TASK,48_M0,3.006074
TASK,49_M0,3.00679
TASK,51_M0,3.007234
TASK,50_M0,4.008958
TASK,47_R0,1.000895
TASK,48_R0,1.001686
TASK,46_R0,2.004773
JOB,47,15:32:38
JOB,46,15:32:39
TASK,56_M1,8.010959
TASK,52_R0,1.003137
JOB,52,15:32:41
JOB,55,15:32:43
TASK,56_R0,3.009071
TASK,50_R0,8.025779
JOB,54,15:32:44
TASK,58_M1,4.016195
TASK,60_M0,2.01107
JOB,57,15:32:45
TASK,62_M1,2.000004
TASK,62_M2,1.003951
TASK,65_M1,1.002637
TASK,62_M3,4.010947
TASK,63_M0,3.007838
TASK,63_M2,3.009029
TASK,63_M1,4.011665
TASK,64_M1,3.845149
TASK,64_M2,4.014441
TASK,67_M0,1.00127
TASK,63_R0,1.001836
JOB,62,15:32:53
TASK,67_M1,3.007115
JOB,63,15:32:53
TASK,64_R0,3.008093
TASK,66_M0,7.018648
TASK,69_M1,3.012219
TASK,69_M0,5.040637
TASK,72_M0,3.03671
TASK,73_M0,3.037102
JOB,66,15:32:57
TASK,71_M2,5.0334
TASK,71_M3,4.040308
JOB,67,15:32:59
TASK,74_M0,2.066008
TASK,69_R0,4.073863
TASK,74_M1,2.07064
TASK,75_M2,3.070463
JOB,71,15:33:01
TASK,75_M0,4.075181
TASK,76_M0,3.007984
JOB,72,15:33:04
JOB,76,15:33:05
TASK,77_M2,2.012301
TASK,78_M2,2.013376
JOB,73,15:33:07
TASK,77_M1,8.030096
JOB,74,15:33:08
TASK,82_M0,1.003837
TASK,80_M0,6.032263
TASK,82_M1,2.006121
TASK,84_M2,2.005171
TASK,81_M2,4.011986
TASK,80_R0,1.001521
JOB,80,15:33:13
TASK,86_M1,1.002372
JOB,77,15:33:14
TASK,85_M2,2.004716
TASK,77_R0,7.009989
TASK,88_M1,3.008024
TASK,89_M1,1.001019
JOB,84,15:33:17
JOB,85,15:33:17
TASK,90_M2,2.006801
TASK,89_M0,4.988497
TASK,89_M2,4.01559
TASK,91_M0,3.014478
TASK,87_R0,5.017421
TASK,92_M0,2.006116
TASK,92_M2,2.006134
TASK,94_M1,2.007376
TASK,92_M1,4.0158
JOB,89,15:33:23
JOB,90,15:33:23
TASK,95_M2,1.010449
TASK,95_M3,1.011653
JOB,92,15:33:24
TASK,96_M0,3.018624
TASK,95_M1,5.022562
TASK,99_M1,2.006011
TASK,93_R0,4.010404
TASK,99_M0,3.007986
JOB,93,15:33:28
TASK,99_M2,4.995058
TASK,99_M3,4.006534
TASK,95_R0,3.004637
JOB,99,15:33:35
JOB,97,15:33:36
TASK,98_R0,3.009976
JOB,98,15:33:38
